budget,id,popularity,year,revenue,runtime,title,vote_average,vote_count
125000000,131631,147.098006,2014,752100229,123,The Hunger Games: Mockingjay - Part 1,6.6,5767
180000000,411,18.13542,2005,748806957,143,The Chronicles of Narnia: The Lion  the Witch and the Wardrobe,6.7,2709
250000000,127585,26.058586,2014,747862775,131,X-Men: Days of Future Past,7.5,6155
145000000,80321,13.829042,2012,746921274,93,Madagascar 3: Europe's Most Wanted,6.4,1857
175000000,297761,42.965027,2016,745600054,123,Suicide Squad,5.9,7717
200000000,62211,16.267502,2013,743559607,104,Monsters University,7,3622
150000000,604,16.229317,2003,738599701,138,The Matrix Reloaded,6.7,3500
175000000,14160,19.330884,2009,735099082,96,Up,7.8,7048
105000000,49047,18.50194,2013,716392705,91,Gravity,7.3,5879
170000000,100402,18.717704,2014,714766572,136,Captain America: The Winter Soldier,7.6,5881
110000000,50619,25.9725,2011,712171856,117,The Twilight Saga: Breaking Dawn - Part 1,5.8,2622
170000000,119450,75.385211,2014,710644566,130,Dawn of the Planet of the Apes,7.3,4511
50000000,18239,30.121292,2009,709827462,130,The Twilight Saga: New Moon,5.6,2518
150000000,1858,5.587707,2007,709709780,144,Transformers,6.6,4113
200000000,102382,26.23687,2014,705717432,142,The Amazing Spider-Man 2,6.5,4274
68000000,24021,34.047399,2010,698491347,124,The Twilight Saga: Eclipse,5.9,2382
145000000,56292,14.25843,2011,694713380,133,Mission: Impossible - Ghost Protocol,6.8,4026
75000000,70160,20.031667,2012,691210692,142,The Hunger Games,6.9,9634
150000000,177677,17.836882,2015,682330139,131,Mission: Impossible - Rogue Nation,7.1,3274
55000000,13,48.307194,1994,677945399,142,Forrest Gump,8.2,8147
165000000,284052,43.847654,2016,677718395,115,Doctor Strange,7.1,5880
165000000,157336,32.213481,2014,675120017,169,Interstellar,8.1,11187
40000000,745,18.449169,1999,672806292,107,The Sixth Sense,7.7,3223
150000000,49444,11.481921,2011,665692281,91,Kung Fu Panda 2,6.7,1925
225000000,49521,18.538834,2013,662845518,143,Man of Steel,6.5,6462
80000000,950,16.646029,2006,660940780,91,Ice Age: The Meltdown,6.5,3034
140000000,22,47.326665,2003,655011224,143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191
160000000,131634,26.628178,2015,653428261,137,The Hunger Games: Mockingjay - Part 2,6.6,4117
165000000,177572,213.849907,2014,652105443,102,Big Hero 6,7.8,6289
120000000,1894,14.072511,2002,649398328,142,Star Wars: Episode II - Attack of the Clones,6.4,4074
170000000,76338,34.905447,2013,644571402,112,Thor: The Dark World,6.8,4873
150000000,277834,9.143457,2016,643034466,107,Moana,7.3,3471
75000000,335797,20.045673,2016,632443719,108,Sing,6.8,2363
130000000,9502,16.897541,2008,631744560,90,Kung Fu Panda,6.9,3231
92000000,9806,22.220214,2004,631442092,115,The Incredibles,7.4,5290
108000000,286217,25.62993,2015,630161890,141,The Martian,7.6,7442
125000000,51497,1.420361,2011,626137675,130,Fast Five,7.1,2491
150000000,8960,11.017324,2008,624029371,92,Hancock,6.2,3050
225000000,41154,10.684385,2012,624026776,106,Men in Black 3,6.3,4228
200000000,10138,19.083344,2010,623933331,124,Iron Man 2,6.6,6969
150000000,2062,20.50803,2007,623722818,111,Ratatouille,7.5,4510
97000000,263115,54.581997,2017,616801808,137,Logan,7.6,6310
30000000,615,13.194168,2004,611899420,127,The Passion of the Christ,6.9,888
52000000,11631,10.534437,2008,609841637,108,Mamma Mia!,6.4,1435
145000000,82702,12.256689,2014,609123048,102,How to Train Your Dragon 2,7.6,3163
120000000,87827,14.045042,2012,609016565,127,Life of Pi,7.2,5912
260000000,335988,39.186819,2017,604942143,149,Transformers: The Last Knight,6.2,1440
150000000,10527,12.668733,2008,603900354,89,Madagascar: Escape 2 Africa,6.2,1866
150000000,36557,23.065078,2006,599045960,144,Casino Royale,7.3,3930
260000000,38757,14.684761,2010,591794936,100,Tangled,7.4,3419
132000000,74,19.929377,2005,591739379,116,War of the Worlds,6.2,2397
90000000,607,15.781024,1997,589390539,98,Men in Black,6.9,4521
200000000,10764,13.67812,2008,586090727,106,Quantum of Solace,6.1,3015
150000000,6479,11.379355,2007,585349010,101,I Am Legend,6.9,4977
135000000,49519,14.757874,2013,585178928,98,The Croods,6.8,2447
140000000,1726,22.073099,2008,585174222,126,Iron Man,7.4,8951
110000000,1593,16.661966,2006,574480841,108,Night at the Museum,6.4,2949
32350000,1892,14.586087,1983,572700000,135,Return of the Jedi,7.9,4763
3000000,12092,16.488937,1951,572000000,75,Alice in Wonderland,7,1557
40000000,216015,33.068431,2015,571006128,125,Fifty Shades of Grey,5.2,3350
185000000,293167,29.429112,2017,566652812,118,Kong: Skull Island,6.2,3161
110000000,41513,10.219758,2011,563749323,103,The Smurfs,5.5,1201
115000000,585,26.419962,2001,562816256,92,Monsters  Inc.,7.5,6150
200000000,49013,13.693002,2011,559852396,106,Cars 2,5.8,2088
60720000,381890,5.296052,2016,553810228,93,The Mermaid,6.2,76
140000000,95,13.235112,1998,553799566,151,Armageddon,6.5,2540
207000000,254,19.761164,2005,550000000,187,King Kong,6.6,2403
50000000,72105,19.638605,2012,549368315,106,Ted,6.3,4811
125000000,955,18.97178,2000,546388105,123,Mission: Impossible II,5.9,1966
125000000,435,15.049695,2004,544272402,124,The Day After Tomorrow,6.2,2462
178000000,246655,28.712522,2016,543934787,144,X-Men: Apocalypse,6.4,4831
95000000,150689,19.801128,2015,543514353,105,Cinderella,6.7,2426
69000000,20352,22.274502,2010,543513985,95,Despicable Me,7.1,6595
58800000,190859,19.228561,2014,542307423,133,American Sniper,7.4,4600
185000000,62177,15.876341,2012,538983207,93,Brave,6.7,4760
18000000,1891,19.470959,1980,538400000,124,The Empire Strikes Back,8.2,5998
135000000,281957,23.501228,2015,532950503,156,The Revenant,7.3,6558
75000000,953,16.136217,2005,532680671,86,Madagascar,6.6,3322
200000000,72190,26.114917,2013,531865000,116,World War Z,6.7,5683
160000000,124905,14.019239,2014,529076069,123,Godzilla,6.1,3232
75000000,35,14.302911,2007,527068851,87,The Simpsons Movie,6.9,2335
90000000,10528,15.68604,2009,524028679,128,Sherlock Holmes,7,5883
180000000,10681,16.088366,2008,521311860,98,WALLÂ·E,7.8,6439
145000000,140300,14.696548,2016,521170825,95,Kung Fu Panda 3,6.7,1630
